,WT_R1,WT_R2,WT_R3,WT_R4,A3_R1,A3_R2,A4_R1,A4_R2,DRelA_R1,DRelA_R2
PP_0026,7.14179066,6.99389923,6.988892345,7.282390196,6.629993725,6.781790053,5.557007096,5.477496349,5.256370044,5.403275272
PP_0027,3.48021401,3.349541435,3.128975828,3.30930596,3.537245239,2.738176287,2.316517276,2.313893704,2.562017659,2.575591053
PP_0028,0.574298309,2.95556213,2.091814819,2.11646318,2.234699953,1.643050759,0.533149761,1.225402232,0,0.68505975
PP_0029,7.244598185,7.358570349,7.164743756,7.681532586,6.431287021,6.312931478,5.331423044,5.411279159,5.783101395,5.975622415
PP_0030,6.406033682,6.412033826,6.429025255,6.869178714,5.999789023,6.064267044,4.739541368,4.777610779,5.225998361,5.602612669
PP_0031,2.346047492,2.58912465,2.517072338,2.796035034,2.588065761,2.258111579,1.166622217,0.456919175,2.226841263,2.016519814
PP_0032,0.781718632,0,2.274805394,0.986548909,2.504133077,3.284571349,2.486243804,2.303519772,1.917586896,0
PP_0033,1.821065988,1.769874067,1.680372061,1.562726538,1.281818556,1.444633764,0.769787649,0.929330609,1.739866496,2.052778479
PP_0034,1.562585232,0.807398913,1.563507814,1.687929245,1.639664776,2.181155711,1.315433298,0.919326213,1.174926246,2.335619581
PP_0035,0.817119074,0,0,0,0.49830044,0.994604236,0.762685291,0.605301381,0.795531128,0
PP_0036,2.050117728,2.207220561,1.777065604,1.799886757,2.251005819,1.841844716,1.41303736,0.929801414,2.068037971,1.876438533
PP_0037,2.314769911,2.052239715,1.994334656,1.956792949,1.310264539,1.556804279,1.016000291,1.238771083,1.65959525,1.918175022
PP_0039,4.423376324,4.700352675,4.01919491,4.030663798,3.910415386,3.737877156,3.864425747,3.743554869,3.804107409,4.391839271
PP_0040,5.642832726,5.644882108,6.34877471,6.477765538,5.485587437,5.22350618,4.644322043,4.483101885,6.735112001,6.420866951
PP_0041,2.301936627,2.559984981,2.401353923,2.367493893,2.417986273,2.39240961,1.644963943,1.068930861,1.591820469,2.16682364
PP_0042,1.310572522,0.649210448,0.729958736,1.59467057,0.617683113,1.44057174,0.537258324,0.744401806,1.539069975,0.690085148
PP_0043,2.999485238,2.958605023,2.537200784,2.40327741,2.065168239,2.105239997,1.441167171,1.777572032,2.178012604,2.384789016
PP_0044,2.237194682,1.683861304,1.438081452,1.989776585,1.747737383,2.257769753,1.580710541,1.366045082,0.992459289,1.080361589
PP_0045,0.171185304,1.111516622,0.224213255,0.228880709,0.862840598,0.988947879,0.758024408,0.896855006,0.980573136,0.209886372
PP_0046,2.848083911,2.787626275,2.170265895,2.032706299,3.518499349,3.410191715,1.618966714,1.916062931,1.997739014,2.040014997
PP_0047,2.580655358,2.630240081,1.369133102,2.380969184,1.727853708,1.288244172,1.451768112,1.391365212,1.90656006,1.124046514
PP_0048,1.572339663,1.941687898,1.212372175,1.885056509,0,1.652075777,1.234891281,1.233003885,1.539069975,1.154944437
PP_0049,7.56403477,7.686201581,6.801164767,6.934959116,7.429908773,7.528961788,6.025288811,6.173166351,5.092789903,5.746547432
PP_0050,2.782782397,2.872291231,3.704496618,4.262570297,2.391362591,2.528001556,1.951714811,2.543327986,2.966378525,3.4260061
PP_0051,5.638995621,5.53129957,5.019175106,4.625208183,5.639715893,5.475291808,5.237167534,5.346496757,4.431975416,5.079543084
PP_0052,6.346413028,6.244871813,5.876228852,6.322772985,5.93038968,6.06328331,4.736302278,4.495071968,3.800622656,3.692079621
PP_0053,5.728673986,5.705773878,5.060010576,5.501095012,5.462014283,5.377792339,4.091700076,3.672530187,3.611031174,3.857897613
PP_0054,3.73577139,3.774636775,3.750478521,3.806744328,3.978197138,4.078144878,2.142182595,2.885036978,2.413306112,3.394358845
PP_0055,4.611889332,4.696632088,4.118707601,4.226934322,5.029000413,4.539040353,4.128901936,3.889923175,4.798443277,4.507867021
PP_0056,3.724358192,2.836287492,2.974285286,2.459157897,6.590169341,6.137301819,1.972981314,1.218396374,1.780077758,2.129182633
PP_0057,3.03955767,3.01157242,3.157464426,3.366826733,6.413059216,5.915871472,1.121709168,0.491768448,2.791480896,2.886526759
PP_0058,6.608702479,6.542768405,6.742400257,6.643884018,6.553213622,6.307910532,5.359716228,5.580420598,7.46698645,7.213554649
PP_0059,6.393492008,6.469833694,6.505016435,6.131182553,6.168276888,5.906389194,6.336932857,6.640084133,7.259587574,7.160562126
PP_0060,7.655543447,7.89744466,7.579738915,7.254472308,8.44900027,8.197348545,8.721691512,8.698660484,8.119177074,7.944880132
PP_0061,8.486208443,8.690763243,8.029447528,7.817793192,7.618105979,7.516824283,8.047773309,7.920080577,8.806765478,8.475747402
PP_0062,5.910791189,6.199229978,6.010718948,6.13462781,5.74858026,5.917478279,4.863391363,4.765164964,5.181358693,5.820553195
PP_0063,6.252235427,6.571620681,6.351506511,6.40435601,7.302695671,7.245295831,7.217217021,7.445441015,6.449655385,6.886022974
PP_0064,5.287770372,5.409363594,5.577038466,5.545705124,6.586252983,7.076775608,6.864826105,6.78186333,5.726544717,5.820553195
PP_0065,6.269861876,6.314365303,6.079496014,5.986303596,6.880700783,6.749080125,7.177562633,7.152347642,6.919639796,6.729427841
PP_0066,3.969803723,4.381953871,4.268427098,4.382041912,6.681843601,6.492984096,7.503021385,7.624844987,5.713293605,5.718644606
PP_0067,4.732524628,4.975164845,4.74931481,4.418622462,5.37637426,4.994104621,6.166109929,6.30398911,5.992697772,5.724231505
PP_0068,7.362238737,7.428343713,6.421054273,6.357478201,5.630788884,6.055933752,7.100681499,6.909741231,7.154357237,7.289072071
PP_0069,4.330327197,4.233782282,4.226758721,4.492348269,5.102064261,4.780747949,4.122041161,3.99794227,3.105936503,3.570878944
PP_0070,6.218125885,5.910345424,6.476827006,6.385624656,5.424414723,5.379017171,5.380644595,5.331290878,6.275462999,6.488599692
PP_0071,2.275411205,2.439348517,3.008862766,3.147839008,1.028581575,0.875029363,0.909279452,0,0,2.372382142
PP_0072,8.32834102,8.229870565,8.240770938,8.192374689,8.542444729,8.446497253,8.014790018,8.173000336,7.308862376,7.75506885
PP_0073,7.046766398,7.097464845,6.692784174,6.594650271,6.04984846,6.010425997,6.843957612,6.779937196,7.90792566,7.840271242
PP_0074,5.957927918,5.913039195,6.16996349,5.810255397,6.303965752,6.403247287,6.882588835,6.932603292,7.407205466,7.419081797
PP_0075,3.908951209,4.109854864,3.790751746,3.622130628,4.709301403,4.752477779,3.778968797,4.011309198,2.872865769,3.593093931
PP_0076,6.006382091,5.974980637,5.918124918,6.265862248,5.240390867,5.338128449,4.288984018,4.268213384,3.975759855,4.303743932
PP_0077,2.674596239,2.610447344,2.667796757,2.488163658,3.482369166,3.48261718,3.059532235,3.529455464,2.655721162,2.867767434
PP_0079,3.171516037,3.066920256,3.487372469,3.172487016,4.948547683,4.917312819,4.252930978,4.423628174,3.409466025,3.669747731
PP_0080,2.566256744,2.529613187,2.156355246,2.064243805,3.543777993,3.354127849,3.17867551,3.583882385,3.248913737,1.962896003
PP_0081,4.623400232,5.215206675,5.192907227,5.030555527,5.423154923,5.232474271,4.422478934,4.926901427,4.695536581,4.999901997
PP_0082,7.199090664,7.724075509,7.67771439,7.323916804,6.90260515,6.764001278,8.157895245,7.988807636,9.166521579,9.661242603
PP_0083,7.590129412,8.185654891,7.851879149,7.349842168,8.392800818,8.258841666,9.678408088,9.620630765,9.445446302,9.867725398
PP_0084,3.829432559,3.386987483,4.393812444,4.304983945,4.386901729,4.247346307,3.762789298,3.670264009,3.102355863,3.968221522
PP_0085,4.03413322,3.216095011,3.283391384,3.550866533,4.33203248,4.747780664,4.864517446,5.254549644,1.819039307,2.08904476
PP_0086,7.974657051,7.582395871,9.117227327,9.473781938,3.787235493,5.130068442,2.518648118,2.012243231,6.829865169,6.821147472
PP_0087,9.762962173,9.835026318,10.96116933,10.93238547,8.93451189,9.189570161,6.810289148,6.919877294,7.924486825,8.535704683
PP_0088,5.153568678,5.612333361,5.815551865,5.648683493,6.428192589,5.751939112,6.054206273,6.114431741,5.531684438,6.351394549
PP_0089,3.377086482,2.818801224,2.810492443,3.891320636,2.088824377,2.84753982,3.096839353,3.495622287,2.21004331,1.263378243
PP_0090,6.023322141,6.112243251,6.645590041,6.767676474,6.217936537,6.583195043,5.97736697,5.735761522,3.636129024,5.161306164
PP_0091,6.64286208,7.018176313,7.02171442,7.393846606,2.94414807,3.124235814,2.572167777,3.07101895,5.315072096,4.898276594
PP_0092,2.844625647,2.940340947,2.204876851,3.067511864,1.628804136,1.743900695,2.180653358,1.639386545,0,2.412296911
PP_0093,4.270454311,4.592780772,4.222757795,4.02031363,5.12243823,5.318006911,5.107026409,4.862693604,4.119151573,4.351700528
PP_0094,5.411765606,5.46136632,4.394063311,5.257767955,5.455753428,5.008527974,5.644757486,5.39457221,5.527643547,5.659104644
PP_0095,5.959647482,5.933375836,5.804070575,5.720573519,5.623967333,5.640290572,5.188288711,4.932067342,6.59599217,6.595251261
PP_0096,7.771879776,7.626922002,7.509386456,7.465912452,7.544547777,7.455860904,7.606283322,7.651123633,7.41683855,7.59222098
PP_0097,6.426353217,6.344761936,6.966230179,7.162877903,6.693366274,6.732343757,6.408449839,6.658771268,7.024010442,7.245493621
PP_0098,0,0,0,0,0,0,1.420040599,0,1.469845933,1.712931989
PP_0099,3.333126241,3.025751977,2.938018615,3.110945806,1.486647483,1.960079014,1.411491191,1.618441844,2.504688677,2.558186833
PP_0100,8.772142011,8.853694789,8.37378592,8.796005528,8.659973206,8.69694345,9.15297073,9.211245629,8.210088712,7.972818675
PP_0101,1.945109712,1.672961292,1.932892659,2.202278968,2.747820378,2.408628231,3.573979647,3.989274231,1.868215209,2.378390865
PP_0103,7.030042494,6.965856716,6.520603968,7.063825321,6.328770614,6.637686089,2.930605685,3.769276936,3.443136263,4.016591044
PP_0104,6.296784947,6.039549221,5.718655904,6.333573084,4.281626721,4.448632254,1.195594965,1.164450752,2.853950427,2.860936523
PP_0105,5.360861267,5.161644204,4.19648198,5.477062366,4.635221865,4.927257993,1.349962727,1.110463833,1.897842203,2.381720645
PP_0106,6.23506205,5.754336336,5.107130403,5.759597347,3.796426027,4.272857322,0.867713766,1.311043401,2.373208515,2.125511774
PP_0107,4.448489274,4.58459307,3.65369171,4.742317505,3.938895521,4.02385462,1.57741966,1.476050148,1.97596213,2.41035779
PP_0108,4.280283185,3.632871386,4.35462069,5.120452853,4.368923288,4.461020273,1.174832373,1.527176096,2.238470064,1.901293557
PP_0109,4.483091348,4.107000347,4.264263542,4.952534812,3.614334514,3.563561056,1.317427787,1.499368902,1.282522225,1.764405854
PP_0110,3.440360416,3.27314526,3.031148455,3.877164744,4.443893596,4.449820906,2.603901964,2.299658349,1.621264723,2.042046876
PP_0111,6.824185149,6.963630417,6.768633765,6.818223607,6.681374071,6.63550223,6.237992953,6.155235298,6.466778445,6.603111839
PP_0112,8.544088047,8.787696558,8.387230028,8.398799138,8.18708707,8.221661796,8.59684185,8.577195062,8.573453472,8.60307296
PP_0113,5.424283455,5.709317668,6.082975592,6.016576756,5.64483155,5.494510209,6.161852568,6.042076477,6.539880314,6.517900769
PP_0114,6.005861383,6.188636172,5.906241207,6.074122209,7.350054945,7.297052874,7.894196285,7.973565406,6.97657362,6.71317064
PP_0115,3.009789619,3.332727517,3.019945994,3.134803382,3.382363671,3.311706354,3.60706828,4.148917023,2.115571813,2.50187329
PP_0116,6.529590861,6.534482627,6.492790501,6.780932984,6.247177047,6.11615354,5.959359392,6.228447887,6.701824787,6.695246509
PP_0117,3.489041978,3.245062342,4.185852802,4.279807299,2.498817987,2.535262923,3.472549307,3.432636359,4.955381693,5.034911858
PP_0118,4.519503051,4.488586129,4.996956436,4.660296119,5.586838958,5.353978856,6.337175418,6.453741559,6.474520618,5.916920657
PP_0119,5.192433547,5.539514057,5.476111931,5.153979862,4.530544297,4.816123465,5.69734986,5.453241346,5.169143865,5.670708849
PP_0120,6.413488863,6.129469123,6.509156307,6.638185452,5.9996375,6.052178536,5.449693293,5.6356555,6.21955351,6.41884165
PP_0121,6.77465614,6.673569394,6.906137351,6.795977173,8.649097791,8.354972248,9.491023251,9.542735434,8.620959101,8.400552444
PP_0122,8.213255382,7.879893444,8.772253572,8.676616978,4.778370313,5.157888812,5.287486269,5.392573551,8.71443555,8.729717489
PP_0123,6.30272516,6.286603625,5.982118248,5.897155012,6.774533486,6.687837157,6.791591289,6.894767066,6.284574808,6.240687646
PP_0124,7.176734242,7.210618703,7.346188695,7.310698492,6.92525239,6.886504411,6.801691316,6.87843268,7.090922588,7.082954618
PP_0125,7.059790252,7.284752985,7.545959322,7.677665511,6.952274962,7.292597072,7.79396498,7.676545556,8.626814266,8.48799941
PP_0126,9.543307188,9.684316866,10.22987825,10.60952368,9.415371571,9.445900311,9.81462499,9.906440457,10.94873859,10.93166731
PP_0127,8.193095747,8.31271333,8.068155155,8.225248567,8.379485755,8.397164738,9.147179441,9.152410555,8.45650084,8.227412366
PP_0128,5.70971813,5.624477546,6.134707315,6.161229325,6.214263259,6.088296885,6.178665104,6.18562654,6.736845578,6.592190089
PP_0129,6.130594848,6.106793326,6.284299797,6.174385388,6.447235993,6.405279651,5.646248502,5.580706762,6.112890484,6.12898078
PP_0130,6.597232486,6.632199529,6.147762919,6.508393084,5.039073153,5.370693973,5.024864162,5.224674555,6.046226526,6.242077477
PP_0131,4.16548602,4.317645021,4.342631626,4.354119863,3.930613698,3.832351575,3.46275597,3.506692907,4.743910051,4.795011481
PP_0132,4.865602472,4.984707153,4.725184034,4.917154859,4.990125306,5.05245463,4.596533289,4.510111819,4.720421366,4.769462083
PP_0133,6.790430584,6.874409922,6.635852306,6.901140248,6.687133014,6.737472059,6.283771845,6.361793499,6.197297086,6.329372823
PP_0134,3.574419465,3.412810748,3.094606798,3.365633219,4.635006153,4.862652463,5.145235422,5.219808559,2.558894011,2.422228296
PP_0135,2.565482169,2.137306219,4.066753485,2.947390828,1.046518629,1.833310453,0,0,2.263169174,2.223108412
PP_0136,4.901174974,4.566587783,4.67173997,4.75309959,4.357730241,4.603634032,4.657270005,4.359573147,4.324121007,4.195052537
PP_0137,5.778760865,4.789914459,5.134139546,3.905674132,2.861609285,2.616257503,3.773968553,3.909390257,5.231235984,4.607755333
PP_0138,4.994431859,5.137887893,4.941713191,5.430837949,4.263089246,4.39418848,4.182225188,4.060813985,5.384099209,5.718604027
PP_0139,5.367475226,5.484880572,5.534876504,5.545234914,6.643491618,6.54340256,6.405933163,6.054431042,4.60523625,5.184405748
PP_0140,5.686544583,5.713706571,5.668666579,5.640808309,5.543432852,5.487362262,5.155138955,5.151947901,5.231711678,5.593716886
PP_0141,5.323095917,5.514736108,5.551069419,5.77658516,6.528749125,6.381577077,5.870637006,6.166896092,5.952607993,6.057697506
PP_0142,4.693150877,4.981559805,4.756197342,4.777029541,5.392681341,5.178723858,4.976895032,4.850205524,4.628885567,5.088301554
PP_0143,3.819409068,4.14776005,3.962461624,3.953384797,4.56447869,4.530237464,3.715567526,3.696770429,3.673799185,3.941475622
PP_0144,5.112768293,5.033221344,4.705042362,5.137381879,5.457046447,5.352848248,4.567107929,5.049166699,4.199961562,4.474914105
PP_0145,5.047683348,4.87640343,5.183084356,5.667807678,4.440712932,4.60443551,3.600603134,3.933431018,3.794373375,4.135232039
PP_0146,6.075508531,6.25473973,5.652238094,5.801772527,5.278851488,5.366988278,5.312002141,5.463494138,5.818510622,5.398042556
PP_0147,2.619594662,2.133041844,1.64418229,1.117947465,1.298377051,1.187053945,0.291668228,0,1.274842753,1.335085119
PP_0148,5.763602785,5.843256111,6.755169915,6.758546193,5.612132286,5.674910277,4.196702336,4.464778918,4.791888356,5.466250344
PP_0149,2.901893846,2.694659546,3.333127494,3.247844979,4.432284871,4.367633247,4.651248684,4.761793492,4.263122818,4.22684431
PP_0150,1.318572569,2.482547786,3.540478858,3.19476643,5.083326888,4.681232438,5.438082426,5.365016522,5.23084704,4.754990344
PP_0151,4.323927301,4.518134459,3.166914295,2.793940341,3.607195175,4.412960629,4.898773524,4.716681886,6.113680403,5.728824719
PP_0152,7.965562701,8.170949857,9.424989567,9.748866825,6.230948086,6.55426032,6.57645574,6.285132109,7.681792332,8.003986035
PP_0153,7.188403875,7.331070501,9.879578604,11.14417138,0.848303192,0.715339068,6.099670542,5.442189066,9.978301886,10.54832936
PP_0154,9.27332616,8.733024168,8.67053441,8.340270615,8.529015454,8.248279843,8.122017738,8.105222314,8.883676472,8.87682814
PP_0155,7.955688128,8.167697738,8.062249409,7.585028141,7.274959225,7.409575904,7.693451577,7.611681209,7.294117488,7.252865822
PP_0156,7.698983466,7.858487025,7.243868363,6.905479044,8.113289228,8.14108443,8.952785299,8.968956708,7.379265922,7.1528025
PP_0157,3.761803411,3.894101964,3.660539743,3.459740168,3.534000385,3.810889512,3.487025272,3.262604279,3.677652287,3.71670949
PP_0158,6.754392268,6.713997254,6.139096999,6.315188654,5.921416351,5.906587261,4.283176766,4.504964328,4.08501665,4.430171402
PP_0159,6.055050404,6.102521492,5.96532789,6.124631143,6.110202419,6.104736817,4.173163778,4.350237388,4.411246683,4.916512143
PP_0160,3.984207671,4.090438836,3.733600522,3.636411577,3.105862356,3.339881513,3.716084247,4.023280654,3.261524867,3.939430236
PP_0161,2.778055242,2.492405939,2.262506877,2.746614629,1.061972842,1.669426288,2.316116012,2.072869026,1.842587281,3.775403991
PP_0162,2.226437438,2.654742907,1.398916555,2.120278374,0.734811034,2.157744046,1.697382005,2.123345042,1.985920223,3.803178634
PP_0163,5.004525232,5.273834876,4.851906719,4.819609517,4.651316469,5.046569388,5.082961217,4.669915244,4.52129903,4.673660127
PP_0164,5.496278035,5.604039468,5.020531743,4.829670284,5.548382293,5.801960895,5.130094693,5.199057869,4.700059609,5.183134952
PP_0165,5.788025741,5.809615588,5.653495995,5.337547964,7.131117802,7.011096326,6.54949535,6.525813088,5.337446312,5.495256293
PP_0166,8.129136244,8.106632687,8.248879592,8.329428177,9.118493365,9.060381419,6.885971607,6.817666104,7.789710205,7.69148769
PP_0167,7.492095485,7.478486539,7.529748439,7.600661663,8.298311605,8.174576316,6.127323129,6.136653359,7.490551601,7.330879056
PP_0168,10.9052035,10.8542814,10.47924121,10.57385751,8.282790714,8.073900107,6.227795179,6.276227483,9.70652546,9.746964591
PP_0169,3.083372606,2.878695919,2.843296688,3.454079647,3.437109124,3.176112044,4.480339179,4.56394922,5.199752979,5.506895781
PP_0170,2.389871127,2.262714512,1.72510346,2.215402384,2.081374265,2.309234902,4.39970992,5.054968999,4.588313205,5.258984141
PP_0171,2.541160144,2.142880002,1.161719161,2.261614322,2.968430623,2.798647896,4.179716757,4.543938777,4.420238838,4.941546205
PP_0172,3.334127467,2.455244827,2.631430823,3.059621191,2.074721995,1.902036732,3.021529898,2.661766084,3.508964936,4.45758641
PP_0173,9.911019461,9.654555922,10.01435168,9.952096144,9.314136652,9.481083905,7.83616931,7.912807996,9.51065614,9.716034224
PP_0174,5.381314445,5.344937274,5.630843879,5.449712783,6.210893727,6.246188903,7.431962838,7.314478892,6.808023087,6.817999437
PP_0175,2.180314844,2.089035993,3.382553221,3.47554236,1.878894295,1.341406392,2.186832131,2.132193323,2.691067937,3.004588282
PP_0176,1.789396481,2.263599382,2.378768425,2.375938146,2.08492311,2.023994515,2.19538069,2.40799756,2.911478921,3.077814934
PP_0177,0,0.897695126,0,0,2.086243665,1.849386379,2.146088068,3.354716129,1.961524825,2.50020692
PP_0178,2.887610089,2.195437709,2.49497264,2.855772724,2.190538392,1.948140724,2.325691581,1.907931719,3.244317274,3.489132796
PP_0179,3.060252032,2.803900726,3.391801025,3.220776211,2.90352655,2.93922919,2.888063707,2.905205124,3.313695345,3.677217556
PP_0180,4.288155898,5.105337001,3.746967862,3.835740005,3.267482414,3.112541916,5.811082042,5.562477658,3.586852981,3.615916227
PP_0181,9.314385618,8.723645901,9.983399544,9.867339017,4.159958059,4.450527832,4.521484338,3.748392433,10.61285436,10.86647738
PP_0182,6.600135144,6.599849297,7.051634968,7.091152411,6.071971796,6.383215722,6.669844413,6.405031532,7.401848751,7.307247001
PP_0183,7.191406307,6.982443654,6.480986913,6.299903053,6.404334667,6.453418068,6.389196348,6.374503404,6.061179317,6.369129035
PP_0184,7.831513472,7.979223916,7.627257784,7.602651901,7.528841928,7.521313087,8.120230848,8.191415546,8.334655998,8.210424949
PP_0185,8.983678145,8.820864997,8.82862754,9.557744825,8.32683162,8.466767781,7.143078184,7.240680272,6.471253182,6.99207033
PP_0186,7.793907355,7.58177746,7.429365041,7.438317614,6.755011935,6.577897715,7.585857585,7.588999784,8.586131557,8.528473262
PP_0187,4.802360201,5.031401423,5.40845484,5.075940705,6.454974338,6.004789753,6.971812216,6.934177506,6.819826279,6.955758993
PP_0188,7.764786179,7.633901793,7.853912457,8.007166344,9.139670381,9.027209253,9.011973454,9.125939574,8.081916843,7.988829633
PP_0189,7.054443695,7.054974194,7.47516691,7.718929848,7.517488408,7.299976839,7.370699218,7.481367819,7.757002282,7.790565175
PP_0190,3.513259036,3.226883115,2.952611147,3.659054146,4.282614689,4.374431904,3.395896474,4.048994394,4.520411809,4.310052133
PP_0191,10.49352655,10.50031795,10.62655075,10.72022001,10.55721738,10.81772347,9.927880668,9.985421642,9.545203586,9.611657726
PP_0192,6.705636376,6.522926751,6.547129987,6.608450222,6.390906784,6.644003834,5.605951798,5.688451411,5.187917094,5.496103898
PP_0194,10.34145775,10.29961608,9.935143451,10.14602146,9.958409201,9.974323312,9.525002249,9.442815462,8.369552474,8.820170644
PP_0195,3.624848704,3.851974413,4.593336242,4.484498234,4.196306817,4.309058012,3.65365324,3.831049066,3.654317824,4.065995609
PP_0196,5.900028431,5.937317791,5.791974117,5.540953684,7.347612047,7.252893089,7.902192143,8.009942998,7.350126777,7.289594511
PP_0197,3.153205759,3.037807218,4.055384583,3.463711077,3.710391373,3.924924997,3.971707995,4.089339144,5.179239897,5.177877284
PP_0198,7.838680327,7.885033451,7.480433368,7.506908744,4.947680887,5.149416115,3.982142152,4.533206985,5.8375017,6.408585971
PP_0199,3.322664273,4.211926853,3.702482147,3.992980587,3.656475979,4.02407808,2.782710552,3.494303379,1.164952849,2.600187597
PP_0200,2.8690045,2.391648588,3.259181219,3.589819344,1.419530144,2.269966894,2.016502009,0.983204062,1.721481531,1.751099224
PP_0201,7.203479093,7.222649506,7.692044885,8.447276307,5.877176839,6.450437969,4.956180622,5.140681548,5.748852548,5.974222949
PP_0202,8.730552337,8.852125297,8.948165994,9.563755619,6.636807932,6.606633026,4.462351455,4.643640603,5.289086066,5.971705384
PP_0203,8.145374911,8.362520583,7.771506338,7.55278252,7.172911974,6.919643515,6.986589944,7.125396312,5.536775864,6.089616362
PP_0204,3.407323368,3.532990498,3.930783233,4.039628303,3.14781825,3.105030956,3.985512223,3.562250296,3.499629549,3.913464576
PP_0205,3.602904628,4.064416208,3.822232824,4.420562728,4.06159288,4.31349586,5.197075831,5.238296824,4.482522608,4.684616297
PP_0206,1.84687123,0.805520191,0,1.471007349,0,0.645156796,0,0.917260378,1.172483746,2.3321025
PP_0207,0.650322708,1.035226556,1.333530613,1.518682504,0.897999718,1.129014599,1.297547758,1.167977635,1.214062651,1.990312837
PP_0208,0.862549022,0.55696897,0.628564808,1.562726538,0.735178196,0.91708869,0.247375606,0.356065939,0.48033971,0.593153951
PP_0209,0.80905149,1.058422643,1.462838527,0.823532451,1.945082944,0.218209653,1.614938703,1.346941106,1.29422809,1.633812931
PP_0210,1.218345496,1.224674002,1.684130787,1.706331146,2.019122272,1.59289669,1.331408881,1.493464372,0.971530676,1.879691644
PP_0211,0.64773063,0,1.70884916,1.348640854,1.506481014,0.988666815,0,0,0,0
PP_0213,8.23301167,8.516914155,8.01965136,7.855065124,9.014347929,8.86694789,8.111748275,8.112179647,7.58262829,7.827376448
PP_0214,7.3151038,7.683901669,7.157311906,6.993864854,8.028177457,7.711881143,7.230417501,7.17443333,7.180820873,7.291922135
PP_0215,7.215857242,7.048595765,7.005341905,7.468948878,8.470462209,8.338260792,6.886774327,7.10091655,5.23260432,5.662188785
PP_0216,2.195733548,2.454972119,2.478137518,2.557578578,3.715996896,3.976357288,3.831944492,4.139120965,2.611681501,1.964630599
PP_0217,5.578569895,5.68967885,5.451948349,5.397521454,5.1640518,5.14130646,5.531517469,5.303407877,6.51351584,6.395778731
PP_0218,5.821308343,5.774662087,5.61334294,5.468080293,6.535115881,6.419279377,6.978153936,7.129907231,6.705347158,6.660308747
